Target page,Incoming links,Linking sites
https://www.thisisbarry.com/film/i-am-mother-ending-explained-plot-spoiler-2019/,5,4
https://www.thisisbarry.com/film/mother-2017-movie-plot-ending-explained/,5,5
https://www.thisisbarry.com/film/the-sixth-sense-1999-movie-plot-ending-explained/,5,4
https://www.thisisbarry.com/battr-score-barrys-time-travel-review-score-explained/,5,3
https://www.thisisbarry.com/film/bliss-movie-explained-plot-analysis-and-ending/,5,5
https://www.thisisbarry.com/film/braid-2018-movie-plot-and-ending-explained/,5,5
https://www.thisisbarry.com/film/moon-2009-movie-plot-ending-explained/,5,5
https://www.thisisbarry.com/film/promising-young-woman-ending-explained/,5,3
https://www.thisisbarry.com/film/madeo-mother-2009-korean-movie-ending-explained/,5,4
https://www.thisisbarry.com/film/swallow-movie-explained-what-is-the-movie-about/,5,3
https://www.thisisbarry.com/film/side-effects-2013-movie-plot-ending-explained/,5,5
https://www.thisisbarry.com/film/kokuhaku-confessions-2010-movie-plot-ending-explained/,5,5
https://www.thisisbarry.com/film/the-secret-in-their-eyes-2009-spanish-movie-plot-ending-explained/,5,5
https://www.thisisbarry.com/film/worm-anti-matter-2017-movie-plot-ending-explained/,5,5
https://www.thisisbarry.com/quiz/ultimate-science-fiction-movie-quiz-lets-see-what-youve-got/,4,3
https://www.thisisbarry.com/film/aladdin-1992-why-doesnt-he-lend-the-lamp-to-someone-else-for-more-wishes/,4,3
https://www.thisisbarry.com/film/ak-nyeo-the-villainess-2017-movie-plot-ending-explained/,4,3
https://www.thisisbarry.com/film/fresh-movie-ending-explained-in-short/,4,3
https://www.thisisbarry.com/film/jigarthanda-2014-movie-plot-ending-explained/,4,4
https://www.thisisbarry.com/film/the-lobster-explained-film-analysis-and-ending-explained/,4,4
https://www.thisisbarry.com/film/dark-series-ending-explained-the-origin-world-what-happened/,4,4
https://www.thisisbarry.com/film/the-jacket-explained-2005-movie-plot-ending/,4,4
https://www.thisisbarry.com/film/ah-ga-ssi-the-handmaiden-2016-movie-plot-ending-explained/,4,4
https://www.thisisbarry.com/film/h0us3-plot-and-ending-explained-2018-spanish-film/,4,2
https://www.thisisbarry.com/film/how-are-the-jumanji-movies-connected/,4,4
https://www.thisisbarry.com/film/the-neon-demon-explained-what-is-it-about/,4,2
